Trial,Dec_Latency_ns,Dec_RAM_Bytes,CPU_Percent,Dec_Throughput_bps
366,39164645,34643968,100.9,1070942836.33
367,38989554,34648064,101.3,1075752136.07
368,39013480,34648064,101.3,1075092403.96
369,38985813,34648064,101.4,1075855363.08
370,38982999,34648064,101.3,1075933024.03
371,39059146,34648064,101.2,1073835459.69
372,39069979,34648064,75.9,1073537715.49
373,39151887,34648064,101.0,1071291812.83
374,39116146,34648064,101.1,1072270667.97
375,39134572,34648064,101.0,1071765803.39
376,39228720,34648064,100.8,1069193590.82
377,39065980,34648064,101.2,1073647608.48
378,39085868,34648064,101.1,1073101306.08
379,39178942,34648064,100.9,1070552032.77
380,39010220,34648064,101.2,1075182247.11
381,39004702,34652160,101.3,1075334353.28
382,38941350,34652160,101.4,1077083768.28
383,39036813,34652160,101.3,1074449802.04
384,39135165,34652160,101.0,1071749563.34
385,39148886,34652160,75.7,1071373933.86
386,38966758,34652160,101.4,1076381463.40
387,39295293,34652160,100.5,1067382192.57
388,39076423,34652160,101.2,1073360680.94
389,39109238,34652160,101.0,1072460066.85
390,39062684,34652160,101.2,1073738199.86
391,39073664,34652160,101.2,1073436471.17
392,39028276,34652160,101.3,1074684825.95
393,38993646,34652160,101.4,1075639246.46
394,38999442,34652160,101.4,1075479387.63
395,39011054,34652160,101.3,1075159261.27
396,38905555,34652160,101.6,1078074737.66
397,39114387,34652160,101.1,1072318888.70
398,39162460,34652160,100.9,1071002587.68
399,38968554,34652160,101.4,1076331854.65
400,39263386,34652160,100.7,1068249590.09
401,39212053,34652160,100.8,1069648049.29
402,39198479,34652160,100.9,1070018456.58
403,38935202,34652160,101.5,1077253843.45
404,39237442,34652160,100.8,1068955922.25
405,38957573,34652160,101.3,1076635241.11
406,38984258,34652160,76.0,1075898276.68
407,39047665,34652160,101.2,1074151194.44
408,39096887,34652160,101.1,1072798865.03
409,39047573,34652160,101.2,1074153725.25
410,39165479,34656256,100.8,1070920031.39
411,39234793,34656256,100.8,1069028094.53
412,39044517,34656256,101.3,1074237798.87
413,39098016,34656256,101.1,1072767886.74
414,38977424,34656256,101.4,1076086916.36
415,38968702,34656256,101.3,1076327766.83
416,39007794,34656256,101.3,1075249115.60
417,39150035,34656256,101.0,1071342490.50
418,38992017,34656256,101.4,1075684184.28
419,38916554,34656256,101.6,1077770041.00
420,39040905,34656256,101.2,1074337185.57
421,38925980,34656256,101.5,1077509056.93
422,38980147,34656256,101.4,1076011745.16
423,39114535,34656256,100.9,1072314831.30
424,38952610,34656256,101.5,1076772416.53
425,39210941,34656256,100.8,1069678383.90
426,39157071,34656256,75.7,1071149984.63
427,39238349,34656256,100.7,1068931213.19
428,39174275,34656256,100.9,1070679572.24
429,39097220,34656256,101.1,1072789727.76
430,39057720,34656256,101.2,1073874665.50
431,38945591,34656256,101.5,1076966478.70
432,39077461,34656256,101.1,1073332169.66
433,38948757,34656256,101.5,1076878936.09
434,39077980,34656256,101.2,1073317914.59
435,39125923,34656256,101.0,1072002723.11
436,39025109,34656256,101.3,1074772039.71
437,39043461,34656256,101.2,1074266853.55
438,39096609,34656256,75.8,1072806493.27
439,39018591,34656256,126.5,1074951578.85
440,38904277,34656256,101.6,1078110152.26
441,38995535,34656256,101.4,1075587140.94
442,39212682,34656256,100.8,1069630891.35
443,38959869,34656256,101.4,1076571792.37
444,39054165,34656256,101.2,1073972417.54
445,38961405,34660352,101.4,1076529350.01
446,38987610,34660352,101.3,1075805775.22
447,38967998,34660352,101.4,1076347211.88
448,39070998,34660352,101.1,1073509716.85
449,39239497,34660352,100.7,1068899940.28
450,39148553,34660352,75.8,1071383047.03
451,39262126,34660352,100.7,1068283872.35
452,39360737,34664448,100.3,1065607485.96
453,39943679,34664448,99.0,1050055904.97
454,39192071,34664448,100.8,1070193407.23
455,39207164,34664448,100.8,1069781430.76
456,39047998,34664448,101.2,1074142034.12
457,38933887,34664448,101.5,1077290227.92
458,38989091,34664448,101.4,1075764910.75
459,39019961,34664448,101.2,1074913837.05
460,39025888,34664448,101.3,1074750586.07
461,39311015,34664448,100.5,1066955305.02
462,39114905,34664448,101.0,1072304687.94
463,39272997,34664448,100.6,1067988165.00
464,39002869,34664448,101.3,1075384890.28
465,39000091,34664448,76.0,1075461490.59
466,39070406,34664448,101.2,1073525982.81
467,39014202,34664448,101.3,1075072508.21
468,38989073,34664448,126.6,1075765407.40
469,39008998,34664448,101.3,1075215928.39
470,39068091,34664448,101.2,1073589595.15
471,39017887,34664448,101.3,1074970974.21
472,38913406,34664448,101.6,1077857229.97
473,39008628,34664448,101.3,1075226126.90
474,39082683,34664448,101.1,1073188757.28
475,39011776,34664448,101.3,1075139363.05
476,39269386,34664448,75.5,1068086371.40
477,39178090,34664448,100.9,1070575313.91
478,39218812,34664448,100.6,1069463705.33
479,39056906,34664448,101.2,1073897046.53
480,39359552,34664448,100.4,1065639568.26
481,39131609,34664448,101.0,1071846956.25
482,39142109,34664448,101.0,1071559429.77
483,39019572,34664448,101.3,1074924553.25
484,38916313,34664448,101.6,1077776715.38
485,39069017,34664448,101.2,1073564149.31
486,38973387,34664448,101.3,1076198381.22
487,38937869,34664448,101.6,1077180058.31
488,39259534,34664448,100.7,1068354402.78
489,39104350,34664448,75.8,1072594123.16
490,38992776,34664448,101.4,1075663245.93
491,38993461,34664448,101.4,1075644349.70
492,39092109,34664448,101.1,1072929986.97
493,39013109,34664448,101.3,1075102627.68
494,38960073,34668544,101.4,1076566155.30
495,39199498,34668544,100.8,1069990641.21
496,38899240,34668544,101.5,1078249755.01
497,38974776,34668544,101.4,1076160027.19
498,39071239,34668544,101.1,1073503095.21
499,39175349,34668544,100.9,1070650219.35
500,39035147,34668544,101.3,1074495659.00
501,39267664,34668544,100.7,1068133210.06
502,39022368,34668544,101.3,1074847533.60
503,39338589,34668544,100.5,1066207433.11
504,39020813,34668544,101.3,1074890366.84
505,39198720,34668544,100.7,1070011877.94
506,38979202,34668544,101.4,1076037831.66
507,39065294,34668544,101.2,1073666462.10
508,39056572,34668544,101.2,1073906230.17
509,38992628,34672640,101.4,1075667328.71
510,39074720,34672640,75.8,1073407461.40
511,39018516,34672640,101.3,1074953645.08
512,38972887,34672640,101.3,1076212188.23
513,38948092,34672640,101.5,1076897322.72
514,39252404,34672640,100.7,1068548463.94
515,39171275,34672640,100.9,1070761572.10
516,38934777,34672640,101.5,1077265602.42
517,39001239,34672640,101.3,1075429834.42
518,38991258,34672640,101.4,1075705123.44
519,39145090,34672640,101.0,1071477827.74
520,39164645,34672640,100.9,1070942836.33
521,39101443,34672640,101.1,1072673865.26
522,38938369,34672640,101.4,1077166226.45
523,38955924,34672640,101.4,1076680814.96
524,39160035,34672640,100.9,1071068909.92
525,38987794,34672640,101.4,1075800698.03
526,39233701,34672640,100.8,1069057849.02
527,39070016,34672640,101.2,1073536698.83
528,39137794,34672640,101.0,1071677570.79
529,39319627,34672640,100.5,1066721614.63
530,39126331,34672640,75.8,1071991544.52
531,39200109,34672640,100.8,1069973963.59
532,39008128,34672640,101.2,1075239908.97
533,39021035,34672640,101.3,1074884251.53
534,38988091,34672640,101.4,1075792502.90
535,39016813,34672640,101.3,1075000564.50
