Trial,Latency_ns,RAM_Bytes,CPU_Percent,Throughput_bps
527,157480678,34639872,101.3,266338502.81
528,157074319,34639872,101.6,267027533.64
529,160068274,34639872,99.7,262032987.25
530,159439428,34639872,100.1,263066473.12
531,160347946,34639872,99.5,261575960.57
532,160113691,34639872,99.6,261958660.36
533,159243656,34639872,100.2,263389883.49
534,157936279,34639872,101.0,265570192.39
535,159373058,34639872,100.1,263176025.65
536,158639580,34639872,100.6,264392833.11
537,158169272,34639872,100.9,265178991.28
538,158315652,34639872,100.7,264933804.52
539,159095237,34648064,100.3,263635598.34
540,158736918,34648064,100.5,264230706.56
541,158989660,34648064,100.3,263810665.42
542,159041306,34648064,100.3,263724997.33
543,158855183,34648064,100.4,264033991.26
544,159280506,34648064,100.2,263328947.49
545,159608878,34648064,100.0,262787186.56
546,159129201,34648064,100.3,263579328.85
547,158950226,34648064,100.4,263876114.27
548,158189920,34648064,100.8,265144378.35
549,158978949,34648064,94.1,263828439.32
550,158888999,34648064,100.4,263977797.48
551,159230187,34648064,100.2,263412163.17
552,158949077,34648064,100.4,263878021.76
553,158264127,34648064,100.8,265020057.26
554,159346411,34648064,100.1,263220035.75
555,158151842,34648064,100.9,265208216.80
556,159270743,34648064,100.2,263345089.06
557,158257756,34648064,100.8,265030726.20
558,159415919,34648064,100.1,263105267.42
559,156945843,34648064,101.7,267246122.60
560,158463521,34648064,94.4,264686583.61
561,158595404,34648064,100.6,264466478.49
562,159571148,34648064,100.0,262849321.61
563,160383864,34648064,99.5,261517380.58
564,158840623,34648064,100.4,264058193.73
565,157991480,34648064,101.0,265477404.22
566,158073198,34648064,100.9,265340162.22
567,159212719,34648064,100.2,263441063.40
568,159655430,34648064,99.9,262710563.62
569,158516029,34648064,100.6,264598906.90
570,159343559,34648064,100.1,263224746.98
571,160098383,34648064,99.7,261983707.86
572,158351093,34648064,100.7,264874508.95
573,157967779,34648064,101.0,265517235.64
574,158941312,34648064,100.4,263890913.40
575,160557539,34648064,99.4,261234497.37
576,159548275,34648064,100.0,262887003.95
577,159396802,34648064,100.1,263136822.53
578,158620997,34648064,100.6,264423807.65
579,159163513,34648064,94.0,263522507.20
580,159904628,34648064,106.0,262301151.16
581,159438230,34652160,100.1,263068449.77
582,158745726,34652160,94.2,264216045.73
583,160253242,34652160,99.6,261730542.71
584,158869197,34652160,100.4,264010700.58
585,159060705,34652160,100.3,263692833.50
586,157677422,34652160,101.2,266006175.57
587,160055470,34652160,99.7,262053949.17
588,158794766,34652160,100.5,264134448.86
589,161062418,34652160,99.1,260415611.05
590,160765844,34652160,99.2,260896014.70
591,158259450,34652160,100.8,265027889.33
592,158323368,34652160,100.8,264920892.79
593,158765782,34652160,100.5,264182668.78
594,159270387,34652160,100.2,263345677.69
595,159659890,34652160,99.9,262703224.96
596,159877367,34652160,99.8,262345876.64
597,159635149,34652160,99.9,262743939.93
598,159116311,34652160,100.3,263600681.39
599,159373670,34652160,100.1,263175015.04
600,159843883,34652160,99.8,262400832.69
601,160461641,34652160,99.4,261390621.08
602,158611811,34652160,100.6,264439121.75
603,158902291,34656256,100.4,263955716.03
604,159478328,34656256,100.0,263002305.87
605,159210457,34656256,94.0,263444806.27
606,159054393,34656256,100.3,263703298.03
607,158878864,34656256,100.4,263994636.82
608,159737932,34656256,99.9,262574877.96
609,159294925,34656256,100.2,263305111.57
