Trial,Latency_ns,RAM_Bytes,Throughput_bps
602,495810,13783040,1057437324.78
603,504051,13783040,1040148715.11
604,495810,13783040,1057437324.78
605,495995,13783040,1057042913.74
606,495513,13783040,1058071130.32
607,495570,13783040,1057949431.97
608,495625,13783040,1057832030.26
609,495569,13783040,1057951566.78
610,505402,13783040,1037368273.18
611,495940,13783040,1057160140.34
612,495717,13783040,1057635707.47
613,495680,13783040,1057714654.62
614,495681,13783040,1057712520.75
615,495606,13783040,1057872584.27
616,495977,13783040,1057081275.95
617,495755,13783040,1057554638.88
618,496588,13783040,1055780647.14
619,496070,13783040,1056883101.18
620,495569,13783040,1057951566.78
621,495865,13783040,1057320036.70
622,495977,13783040,1057081275.95
623,495421,13783040,1058267614.82
624,495643,13783040,1057793613.55
625,505625,13787136,1036910754.02
626,496106,13787136,1056806408.31
627,496070,13791232,1056883101.18
628,495884,13791232,1057279525.05
629,495976,13791232,1057083407.26
630,495625,13791232,1057832030.26
631,496106,13791232,1056806408.31
632,504921,13791232,1038356495.37
633,496551,13791232,1055859317.57
634,495773,13791232,1057516242.31
635,495699,13791232,1057674112.72
636,495754,13791232,1057556772.11
637,495810,13791232,1057437324.78
638,495681,13791232,1057712520.75
639,495644,13791232,1057791479.37
640,507458,13791232,1033165306.29
641,496088,13791232,1056844753.35
642,495884,13791232,1057279525.05
643,495717,13791232,1057635707.47
644,495569,13791232,1057951566.78
645,495755,13791232,1057554638.88
646,495495,13791232,1058109567.20
647,504680,13791232,1038852342.08
648,496255,13791232,1056489103.38
649,495828,13791232,1057398936.73
650,495588,13791232,1057911006.72
651,495384,13791232,1058346656.33
652,495550,13791232,1057992129.96
653,495588,13791232,1057911006.72
654,503699,13791232,1040875602.29
655,495976,13791232,1057083407.26
656,495699,13791232,1057674112.72
657,495643,13791232,1057793613.55
658,495587,13791232,1057913141.39
659,495996,13791232,1057040782.59
660,495662,13791232,1057753065.60
661,495976,13791232,1057083407.26
662,503329,13791232,1041640755.85
663,495680,13791232,1057714654.62
664,495606,13791232,1057872584.27
665,495569,13791232,1057951566.78
666,495718,13791232,1057633573.93
667,495847,13791232,1057358419.03
668,495606,13791232,1057872584.27
669,503440,13791232,1041411091.69
670,496013,13791232,1057004554.32
671,495755,13791232,1057554638.88
672,495588,13791232,1057911006.72
673,495477,13791232,1058148006.87
674,495513,13791232,1058071130.32
675,495662,13791232,1057753065.60
676,503440,13791232,1041411091.69
677,495847,13791232,1057358419.03
678,495958,13791232,1057121772.41
679,495735,13791232,1057597305.01
680,496033,13791232,1056961936.00
681,495661,13791232,1057755199.62
682,495718,13791232,1057633573.93
683,495977,13791232,1057081275.95
684,503755,13791232,1040759893.20
685,495828,13791232,1057398936.73
686,495551,13791232,1057989994.98
687,495644,13791232,1057791479.37
688,495440,13791232,1058227030.52
689,495755,13795328,1057554638.88
690,495902,13795328,1057241148.45
691,505218,13799424,1037746081.89
692,496180,13799424,1056648796.81
693,496014,13799424,1057002423.32
694,495755,13799424,1057554638.88
695,495550,13799424,1057992129.96
696,495884,13799424,1057279525.05
697,495699,13799424,1057674112.72
698,495422,13799424,1058265478.72
699,496366,13799424,1056252845.68
700,495698,13799424,1057676246.42
701,495847,13799424,1057358419.03
702,495699,13799424,1057674112.72
703,495551,13799424,1057989994.98
704,495440,13799424,1058227030.52
705,495866,13799424,1057317904.43
706,505681,13799424,1036795924.70
707,495977,13799424,1057081275.95
708,495810,13799424,1057437324.78
709,495532,13799424,1058030561.09
710,496014,13799424,1057002423.32
711,495847,13799424,1057358419.03
712,495588,13799424,1057911006.72
713,503421,13799424,1041450396.39
714,496014,13799424,1057002423.32
715,495607,13799424,1057870449.77
716,495588,13799424,1057911006.72
717,495644,13799424,1057791479.37
718,495772,13799424,1057518375.38
719,495866,13799424,1057317904.43
720,495662,13799424,1057753065.60
721,503550,13799424,1041183596.47
722,496032,13799424,1056964066.83
723,495717,13799424,1057635707.47
724,495736,13799424,1057595171.62
725,495792,13799424,1057475715.62
726,495699,13799424,1057674112.72
727,495791,13799424,1057477848.53
728,503828,13799424,1040609096.76
729,496477,13799424,1056016693.62
730,495772,13799424,1057518375.38
731,495865,13799424,1057320036.70
732,496180,13799424,1056648796.81
733,496014,13799424,1057002423.32
734,495810,13799424,1057437324.78
735,503477,13799424,1041334559.47
736,495829,13799424,1057396804.14
737,495791,13799424,1057477848.53
738,495569,13799424,1057951566.78
739,495643,13799424,1057793613.55
740,495717,13799424,1057635707.47
741,495570,13799424,1057949431.97
742,495699,13799424,1057674112.72
743,503550,13799424,1041183596.47
744,496254,13799424,1056491232.31
745,495569,13799424,1057951566.78
746,495847,13799424,1057358419.03
747,495792,13799424,1057475715.62
748,495699,13799424,1057674112.72
749,495921,13799424,1057200642.84
750,503292,13799424,1041717333.08
751,495976,13799424,1057083407.26
752,495995,13803520,1057042913.74
753,495699,13803520,1057674112.72
754,496032,13807616,1056964066.83
755,495662,13807616,1057753065.60
756,495681,13807616,1057712520.75
757,495477,13807616,1058148006.87
758,517180,13807616,1013743764.26
759,496736,13807616,1055466082.59
760,495699,13807616,1057674112.72
761,495477,13807616,1058148006.87
762,496181,13811712,1056646667.24
763,495496,13811712,1058107431.75
764,495643,13811712,1057793613.55
765,504236,13811712,1039767093.19
766,495810,13811712,1057437324.78
767,495513,13811712,1058071130.32
768,495328,13811712,1058466309.19
769,495569,13811712,1057951566.78
770,495569,13811712,1057951566.78
771,495736,13811712,1057595171.62
772,504662,13811712,1038889395.28
773,496106,13811712,1056806408.31
774,495606,13811712,1057872584.27
775,495681,13811712,1057712520.75
776,495884,13811712,1057279525.05
777,495607,13811712,1057870449.77
778,495736,13811712,1057595171.62
779,495570,13811712,1057949431.97
780,503476,13811712,1041336627.76
781,495866,13811712,1057317904.43
782,495680,13811712,1057714654.62
783,495773,13811712,1057516242.31
784,495551,13811712,1057989994.98
785,495754,13811712,1057556772.11
786,495607,13811712,1057870449.77
787,503477,13811712,1041334559.47
788,495532,13811712,1058030561.09
789,495550,13811712,1057992129.96
790,495570,13811712,1057949431.97
791,495347,13811712,1058425709.65
792,495569,13811712,1057951566.78
793,495384,13811712,1058346656.33
794,509847,13811712,1028324183.53
795,495995,13811712,1057042913.74
796,495829,13811712,1057396804.14
797,495588,13811712,1057911006.72
798,495699,13811712,1057674112.72
799,495791,13811712,1057477848.53
800,495514,13811712,1058068995.02
801,495385,13811712,1058344519.92
802,535754,13811712,978598386.57
803,496180,13811712,1056648796.81
804,495736,13811712,1057595171.62
805,495884,13811712,1057279525.05
806,495532,13811712,1058030561.09
807,495402,13811712,1058308202.23
808,495551,13811712,1057989994.98
809,504087,13811712,1040074431.60
810,495699,13811712,1057674112.72
811,495699,13811712,1057674112.72
812,495403,13811712,1058306065.97
813,495791,13811712,1057477848.53
814,495532,13811712,1058030561.09
815,495587,13811712,1057913141.39
816,495884,13815808,1057279525.05
817,495939,13815808,1057162271.97
818,495958,13819904,1057121772.41
819,495717,13819904,1057635707.47
820,495773,13819904,1057516242.31
821,495514,13819904,1058068995.02
822,495440,13819904,1058227030.52
823,495532,13819904,1058030561.09
824,503717,13819904,1040838407.28
825,495940,13819904,1057160140.34
826,495422,13819904,1058265478.72
827,495532,13819904,1058030561.09
828,495570,13819904,1057949431.97
829,495587,13819904,1057913141.39
830,495329,13819904,1058464172.30
831,505736,13819904,1036683170.67
832,495718,13819904,1057633573.93
833,495569,13819904,1057951566.78
834,495533,13819904,1058028425.96
835,495551,13819904,1057989994.98
836,495514,13819904,1058068995.02
837,495736,13819904,1057595171.62
838,495384,13819904,1058346656.33
839,502977,13819904,1042369730.62
840,495718,13819904,1057633573.93
841,495754,13819904,1057556772.11
842,495717,13819904,1057635707.47
843,495662,13819904,1057753065.60
844,495847,13819904,1057358419.03
845,495773,13819904,1057516242.31
846,503144,13819904,1042023754.63
847,495976,13819904,1057083407.26
848,495810,13819904,1057437324.78
849,495773,13819904,1057516242.31
850,495625,13819904,1057832030.26
851,495625,13819904,1057832030.26
852,495847,13819904,1057358419.03
853,503236,13819904,1041833255.17
854,495810,13819904,1057437324.78
855,495403,13819904,1058306065.97
856,495384,13819904,1058346656.33
857,495680,13819904,1057714654.62
858,495569,13819904,1057951566.78
859,495458,13819904,1058188585.11
860,495476,13819904,1058150142.49
861,503309,13819904,1041682147.55
862,495773,13819904,1057516242.31
863,495810,13819904,1057437324.78
864,495736,13819904,1057595171.62
